SUM([nb_comments]+[likes])/COUNT([image_url]);Number of Records;Created Time;Filter;Image URL;latitude;Number of likes;Link;Location;longitude;number of Comments;Tags;Text;Username
743;1;15/08/2017 1:22:06 a.m.;Normal;https://scontent.cdninstagram.com/vp/c3b45611281c171c74124c6318074eb2/5B3F8A82/t51.2885-15/s320x320/e35/20766767_1467379070227489_6524516984363679744_n.jpg;0;731;https://www.instagram.com/p/BXy7th8BXUg/;;0;12;leonisa,comotúninguna;"La mezcla perfecta entre sofisticación y sensualidad es tuya, como tú ninguna.

#leonisa #ComoTúNinguna";leonisa
592;1;14/08/2017 5:02:48 p.m.;Normal;https://scontent.cdninstagram.com/vp/d7c1b82b87441b69fe502274ac987ac1/5B3E7ADE/t51.2885-15/s320x320/e35/20766847_164279504140160_8872337994611163136_n.jpg;0;589;https://www.instagram.com/p/BXyCkhzBJ8T/;;0;3;leonisa,comotúninguna;"Eres única, como tu esencia y cada parte de ti es magia.

Nueva colección disponible en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna";leonisa
639;1;13/08/2017 11:55:38 p.m.;Normal;https://scontent.cdninstagram.com/vp/243be5a9f3849ab1bc1fd91270a74f45/5B2EE504/t51.2885-15/s320x320/e35/20759739_1950119551935314_5089021910541402112_n.jpg;0;633;https://www.instagram.com/p/BXwNBUzBE1n/;;0;6;leonisa,comotúninguna;Inspírate o antójate... Un poco de la nueva colección, descúbrelo todo en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna;leonisa
646;1;13/08/2017 5:18:54 p.m.;Normal;https://scontent.cdninstagram.com/vp/3b0d9c08ac80804fc5bc3e5684d46b31/5B42F0E9/t51.2885-15/s320x320/e35/20766830_1575108222542159_4927903745804599296_n.jpg;0;639;https://www.instagram.com/p/BXvfnkchWLg/;;0;7;leonisa,comotúninguna;"¡Un buen día empieza con un buen bra! Renueva tu look interior con nuestra nueva colección. 
#leonisa #ComoTúNinguna";leonisa
1493;1;12/08/2017 5:37:38 p.m.;Normal;https://scontent.cdninstagram.com/vp/250ab98c189b97f889e3200db8d945d4/5B3BF8D8/t51.2885-15/s320x320/e35/20766897_311977525940691_6338040881739726848_n.jpg;0;1477;https://www.instagram.com/p/BXs893lB6Vp/;;0;16;leonisa,comotúninguna;"•Romantic vibes perfect for the weekend• 
#leonisa #ComoTúNinguna";leonisa
1439;1;12/08/2017 1:46:29 a.m.;Normal;https://scontent.cdninstagram.com/vp/9bf0f14edcf6b937a1b3799734a5c4b6/5B427A77/t51.2885-15/s320x320/e35/20837092_1459220770781187_6902593588106887168_n.jpg;0;1429;https://www.instagram.com/p/BXrQHgtB22R/;;0;10;;"The prettiest bralette ever! 
Qué esperas para tenerlo, encuéntralo en nuestro catálogo, tiendas Leonisa y tienda Online (link en la bio👆🏼)";leonisa
418;1;11/08/2017 1:53:17 a.m.;Normal;https://scontent.cdninstagram.com/vp/e81e5ad2758d56bc9a5d354cbc11fe6e/5B28294A/t51.2885-15/s320x320/e35/20688046_2357432131148486_2577377408671809536_n.jpg;0;415;https://www.instagram.com/p/BXosGaBh9d6/;;0;3;leonisa,comotúninguna;Bralettes tan lindos, que son el mejor accesorio para tus outfits.  #leonisa #ComoTúNinguna;leonisa
643;1;10/08/2017 6:18:22 p.m.;Normal;https://scontent.cdninstagram.com/vp/ce2c73d2ad91f57113bc8a226bec0210/5B2F7E53/t51.2885-15/s320x320/e35/20759770_1575759115807505_8856987837329833984_n.jpg;0;639;https://www.instagram.com/p/BXn4CiaBKnv/;;0;4;leonisa,comotúninguna;For lace lovers ❤️ Lo mejor del encaje está en nuestra nueva colección de bralettes. Encuéntralos en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna;leonisa
500;1;10/08/2017 1:29:57 a.m.;Normal;https://scontent.cdninstagram.com/vp/20c4e492946c354d0aa168cfcd995d51/5B3AFD23/t51.2885-15/s320x320/e35/20635239_1515239508536348_3731194916471046144_n.jpg;0;497;https://www.instagram.com/p/BXmEoplBHP8/;;0;3;leonisa,comotúninguna;"Esenciales de temporada... Bralettes que están hechos para ser vistos. 
Encuentra la nueva colección en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna";leonisa
757;1;9/08/2017 6:19:17 p.m.;Normal;https://scontent.cdninstagram.com/vp/83f15b364c9f0b82f80ade297da3e2f1/5B28CC54/t51.2885-15/s320x320/e35/20687008_449238882128145_3847132812687704064_n.jpg;0;749;https://www.instagram.com/p/BXlTWXQh0LV/;;0;8;leonisa,comotúninguna;"NEW FOR YOU! Nuevos bralettes con siluetas que no has visto antes. 
Enamórate de lo nuevo en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna";leonisa
